Reference,Publication year,Ecosystem component (detailed),Ecosystem component (simplified),Thema (detailed),Thema (simplified),Trait label (original),Trait label (standardised),
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Endemism,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Sedimentation,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Organic pollution,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Hydrodynamics,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Light,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Salinity range,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Substrate sand,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Substrate LSO,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Substrate SM,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Thermal preference,Habitat,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Commercial value,Index,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Protected species,Index,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Dominant colour,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Color polymorphism,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Violet,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Blue,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Green,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Yellow,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Orange,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Pink,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Red,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Grey,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Beige,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Brown,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Black,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,White,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Colour luminosity,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Transparancy,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Colour tone,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Base cover,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Base type,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Retract,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Stinging,Morph./Anat./Phys.,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Mobile,Motility,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Cryptic,Resistance form,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Spiked,Resistance form,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Shell,Resistance form,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Sexual reproduction,Sexuality,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Condition of food,Trophy,
"Doxa A., Holon F., Deter J., Villéger S., Boissery P., Mouquet N, 2016. Mapping biodiversity in three-dimensions challenges marine conservation strategies: The example of coralligenous assemblages in North-Western Mediterranean Sea. Ecological Indicators 61:1042–1054.",2016,Coral,Other,FD,Other,Size of food,Trophy,
"Edwards K.F., Klausmeier C.A., Litcham E., 2011. Evidence for a three-way trade-off between nitrogen and phosphorus competitive abilities and cell size in phytoplankton. Ecology 92:2085–2095.",2011,Phytoplankton,Other,Environment,Environment,Volume,Body size,
"Edwards K.F., Klausmeier C.A., Litcham E., 2011. Evidence for a three-way trade-off between nitrogen and phosphorus competitive abilities and cell size in phytoplankton. Ecology 92:2085–2095.",2011,Phytoplankton,Other,Environment,Environment,Competitive ability for N,Trophy,
"Edwards K.F., Klausmeier C.A., Litcham E., 2011. Evidence for a three-way trade-off between nitrogen and phosphorus competitive abilities and cell size in phytoplankton. Ecology 92:2085–2095.",2011,Phytoplankton,Other,Environment,Environment,Competitive ability for P,Trophy,
"Edwards K.F., Litcham E., Klausmeier C.A., 2013. Functional traits explain phytoplankton community structure and seasonal dynamics in a marine ecosystem. Ecology Letters 16:56–63.",2013,Phytoplankton,Other,Environment,Environment,Photosynthetically active radiation,Habitat,
"Edwards K.F., Litcham E., Klausmeier C.A., 2013. Functional traits explain phytoplankton community structure and seasonal dynamics in a marine ecosystem. Ecology Letters 16:56–63.",2013,Phytoplankton,Other,Environment,Environment,Resource availability,Habitat,
"Edwards K.F., Litcham E., Klausmeier C.A., 2013. Functional traits explain phytoplankton community structure and seasonal dynamics in a marine ecosystem. Ecology Letters 16:56–63.",2013,Phytoplankton,Other,Environment,Environment,Competitive ability for N,Trophy,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Migration,Behaviour,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Behavior,Biotic int./Sociability,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Reproduction ,Egg/Prop. protection,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Vertical distribution,Habitat,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Habitats,Habitat,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Sex reversal,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Larvae,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Length,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Oral gape position,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Eye size,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Eye position,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Pectoral fin position,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Caudal peduncle throttling,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Aspect ratio of the caudal fin,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Body shape,Morph./Anat./Phys.,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Semelparity,Reprod. frequency,
"Elleouet J., Albouy C., Ben Rais Lasram F., Mouillot D., Leprieur F., 2014. A trait-based approach for assessing and mapping niche overlap between native and exotic species: the Mediterranean coastal fish fauna as a case study. Diversity and Distributions 20:1333–1344.",2014,Fish,Fish,Invasion,Other,Diet,Trophy,
"Ellingsen K.E., Hewitt J.E., Thrush S.F., 2007. Rare species, habitat diversity and functional redundancy in marine benthos. Journal of Sea Research 58:29 –301.",2007,Benthic invertebrate,Benthic invertebrate,Distribution,Other,Body size,Body size,
"Ellingsen K.E., Hewitt J.E., Thrush S.F., 2007. Rare species, habitat diversity and functional redundancy in marine benthos. Journal of Sea Research 58:29 –301.",2007,Benthic invertebrate,Benthic invertebrate,Distribution,Other,Placement in sediment,Burrowing depth,
"Ellingsen K.E., Hewitt J.E., Thrush S.F., 2007. Rare species, habitat diversity and functional redundancy in marine benthos. Journal of Sea Research 58:29 –301.",2007,Benthic invertebrate,Benthic invertebrate,Distribution,Other,Bioturbation potential,Engineering,
"Ellingsen K.E., Hewitt J.E., Thrush S.F., 2007. Rare species, habitat diversity and functional redundancy in marine benthos. Journal of Sea Research 58:29 –301.",2007,Benthic invertebrate,Benthic invertebrate,Distribution,Other,Taxonomic group,Taxonomy,
"Ellingsen K.E., Hewitt J.E., Thrush S.F., 2007. Rare species, habitat diversity and functional redundancy in marine benthos. Journal of Sea Research 58:29 –301.",2007,Benthic invertebrate,Benthic invertebrate,Distribution,Other,Feeding mode,Trophy,
"Engelhard G.H., Ellis J.R., Payne M.R., ter Hofstede R., Pinnegar J.K., 2011. Ecotypes as a concept for exploring responses to climate change in ?sh assemblages. ICES Journal of Marine Science 68:580–591.",2011,Fish,Fish,Life-history theory,Life-history theory,Body size,Body size,
"Engelhard G.H., Ellis J.R., Payne M.R., ter Hofstede R., Pinnegar J.K., 2011. Ecotypes as a concept for exploring responses to climate change in ?sh assemblages. ICES Journal of Marine Science 68:580–591.",2011,Fish,Fish,Life-history theory,Life-history theory,Vertictal habitat preference,Habitat,
"Engelhard G.H., Ellis J.R., Payne M.R., ter Hofstede R., Pinnegar J.K., 2011. Ecotypes as a concept for exploring responses to climate change in ?sh assemblages. ICES Journal of Marine Science 68:580–591.",2011,Fish,Fish,Life-history theory,Life-history theory,Biogeography,Habitat,
"Engelhard G.H., Ellis J.R., Payne M.R., ter Hofstede R., Pinnegar J.K., 2011. Ecotypes as a concept for exploring responses to climate change in ?sh assemblages. ICES Journal of Marine Science 68:580–591.",2011,Fish,Fish,Life-history theory,Life-history theory,Horizontal habitat preference,Habitat,
"Engelhard G.H., Ellis J.R., Payne M.R., ter Hofstede R., Pinnegar J.K., 2011. Ecotypes as a concept for exploring responses to climate change in ?sh assemblages. ICES Journal of Marine Science 68:580–591.",2011,Fish,Fish,Life-history theory,Life-history theory,Trophic level,Trophy,
"Engelhard G.H., Ellis J.R., Payne M.R., ter Hofstede R., Pinnegar J.K., 2011. Ecotypes as a concept for exploring responses to climate change in ?sh assemblages. ICES Journal of Marine Science 68:580–591.",2011,Fish,Fish,Life-history theory,Life-history theory,Trophic guild,Trophy,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Buying ability,Behaviour,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Motility,Behaviour,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Maximum length,Body size,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Growth rate,Growth rate,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Habitat,Habitat,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Environment,Habitat,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Life span,Life span,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Body shape,Morph./Anat./Phys.,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Special ?ns,Morph./Anat./Phys.,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Sensorial barbels,Morph./Anat./Phys.,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Locomotion,Morph./Anat./Phys.,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Spawning period,Reprod. frequency,
"Farré M., Tuset V.M., Maynou F., Recasens L., Lombarte A., 2013. Geometric morphology as an alternative for measuring the diversity of fish assemblages. Ecological Indicators 29: 159–166.",2013,Fish,Fish,FD,Other,Trophic level,Trophy,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Mobility,Behaviour,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Size ,Body size,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Maximum adult size,Body size,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Larval type,Early development,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Adult longevity,Life span,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Body form,Morph./Anat./Phys.,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Attachment,Motility,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Adult habitat,Motility,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Life habitat,Motility,
"Fleddum A., Atkinson L.J., Field J.G., Shin P., 2013. Changes in biological traits of macro-benthic communities subjected to different intensities of demersal trawling along the west coast of southern Africa. Journal of the Marine Biological Association of the United Kingdom 93:2027–2038.",2013,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Feeding,Trophy,
"Fraschetti S., Guarnieri G., Gambi C., Bevilacqua S., Terlizzi A., Danovaro R., 2016. Impact of offshore gas platforms on the structural and functional biodiversity of nematodes. Marine Environmental Research 115:56–64.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Colonizers-Persisters,Dispersal,
"Fraschetti S., Guarnieri G., Gambi C., Bevilacqua S., Terlizzi A., Danovaro R., 2016. Impact of offshore gas platforms on the structural and functional biodiversity of nematodes. Marine Environmental Research 115:56–64.",2016,Benthic invertebrate,Benthic invertebrate,Pressure,Pressure,Trophic group,Trophy,
"Frid C.L.J., 2011. Temporal variability in the benthos: Does the sea ?oor function differently over time? Journal of Experimental Marine Biology and Ecology 400:99–107.",2011,Benthic invertebrate,Benthic invertebrate,Distribution,Other,Body size,Body size,
